scope,grain,change_type,selected_parent_count,rejected_parent_count,selected_minus_rejected
all,instance_level,change,0,5,-5
all,instance_level,class rename,0,3,-3
all,instance_level,cleanup,0,1,-1
all,instance_level,comment,0,2,-2
all,instance_level,commentary,0,1,-1
all,instance_level,commit message,0,1,-1
all,instance_level,dataclass,0,2,-2
all,instance_level,deprecation,0,7,-7
all,instance_level,documentation,2,4,-2
all,instance_level,documentation change,0,1,-1
all,instance_level,exception,1,0,1
all,instance_level,fix,3,0,3
all,instance_level,formatting,0,1,-1
all,instance_level,function,1,0,1
all,instance_level,import,4,5,-1
all,instance_level,import change,1,4,-3
all,instance_level,informational,0,1,-1
all,instance_level,intent,2,5,-3
all,instance_level,intent change,0,1,-1
all,instance_level,intention,2,1,1
all,instance_level,json object,1,2,-1
all,instance_level,likely intent,44,75,-31
all,instance_level,likely intent change,0,1,-1
all,instance_level,logic,0,2,-2
all,instance_level,metaclass introduction,0,1,-1
all,instance_level,minor,0,1,-1
all,instance_level,misc,0,1,-1
all,instance_level,modification,38163,44331,-6168
all,instance_level,move,1,0,1
all,instance_level,movement,0,1,-1
all,instance_level,note,2,5,-3
all,instance_level,object,0,1,-1
all,instance_level,overall,0,2,-2
all,instance_level,patch,1,0,1
all,instance_level,refactor,8,13,-5
all,instance_level,reformatting,1,3,-2
all,instance_level,relocation,0,6,-6
all,instance_level,removal,2633,2714,-81
all,instance_level,removal/addition,0,1,-1
all,instance_level,renaming,2,8,-6
all,instance_level,reorder imports,0,1,-1
all,instance_level,reordering,1,6,-5
all,instance_level,reorganization,1,0,1
all,instance_level,replacement,9,5,4
all,instance_level,reposition,1,0,1
all,instance_level,risk,1,3,-2
all,instance_level,summary,2,1,1
all,instance_level,summary change,0,1,-1
all,instance_level,unknown,1896,1875,21
failures_only,file_level,addition,23137,17852,5285
failures_only,file_level,additional,1,0,1
failures_only,file_level,analysis,1,3,-2
failures_only,file_level,assertion,0,1,-1
failures_only,file_level,boolean,0,1,-1
failures_only,file_level,change,0,5,-5
failures_only,file_level,class rename,0,3,-3
failures_only,file_level,cleanup,0,1,-1
failures_only,file_level,comment,0,2,-2
failures_only,file_level,commentary,0,1,-1
failures_only,file_level,commit message,0,1,-1
failures_only,file_level,dataclass,0,2,-2
failures_only,file_level,deprecation,0,7,-7
failures_only,file_level,documentation,2,4,-2
failures_only,file_level,documentation change,0,1,-1
failures_only,file_level,exception,1,0,1
failures_only,file_level,fix,3,0,3
failures_only,file_level,formatting,0,1,-1
failures_only,file_level,function,1,0,1
failures_only,file_level,import,3,5,-2
failures_only,file_level,import change,1,4,-3
failures_only,file_level,informational,0,1,-1
failures_only,file_level,intent,2,5,-3
failures_only,file_level,intent change,0,1,-1
failures_only,file_level,intention,2,1,1
failures_only,file_level,json object,1,2,-1
failures_only,file_level,likely intent,39,69,-30
failures_only,file_level,likely intent change,0,1,-1
failures_only,file_level,logic,0,2,-2
failures_only,file_level,metaclass introduction,0,1,-1
failures_only,file_level,minor,0,1,-1
failures_only,file_level,misc,0,1,-1
failures_only,file_level,modification,34570,43089,-8519
failures_only,file_level,move,1,0,1
failures_only,file_level,movement,0,1,-1
failures_only,file_level,note,2,5,-3
failures_only,file_level,object,0,1,-1
failures_only,file_level,overall,0,2,-2
failures_only,file_level,patch,1,0,1
failures_only,file_level,refactor,8,13,-5
failures_only,file_level,reformatting,1,3,-2
failures_only,file_level,relocation,0,6,-6
failures_only,file_level,removal,2348,2492,-144
failures_only,file_level,removal/addition,0,1,-1
failures_only,file_level,renaming,2,8,-6
failures_only,file_level,reorder imports,0,1,-1
failures_only,file_level,reordering,1,6,-5
failures_only,file_level,reorganization,1,0,1
failures_only,file_level,replacement,9,5,4
failures_only,file_level,reposition,1,0,1
failures_only,file_level,risk,1,3,-2
failures_only,file_level,summary,2,1,1
failures_only,file_level,summary change,0,1,-1
failures_only,file_level,unknown,1761,1747,14
failures_only,instance_level,addition,23137,17852,5285
failures_only,instance_level,additional,1,0,1
failures_only,instance_level,analysis,1,3,-2
failures_only,instance_level,assertion,0,1,-1
failures_only,instance_level,boolean,0,1,-1
failures_only,instance_level,change,0,5,-5
failures_only,instance_level,class rename,0,3,-3
failures_only,instance_level,cleanup,0,1,-1
failures_only,instance_level,comment,0,2,-2
failures_only,instance_level,commentary,0,1,-1
failures_only,instance_level,commit message,0,1,-1
failures_only,instance_level,dataclass,0,2,-2
failures_only,instance_level,deprecation,0,7,-7
failures_only,instance_level,documentation,2,4,-2
failures_only,instance_level,documentation change,0,1,-1
failures_only,instance_level,exception,1,0,1
failures_only,instance_level,fix,3,0,3
failures_only,instance_level,formatting,0,1,-1
failures_only,instance_level,function,1,0,1
failures_only,instance_level,import,3,5,-2
failures_only,instance_level,import change,1,4,-3
failures_only,instance_level,informational,0,1,-1
failures_only,instance_level,intent,2,5,-3
failures_only,instance_level,intent change,0,1,-1
failures_only,instance_level,intention,2,1,1
failures_only,instance_level,json object,1,2,-1
failures_only,instance_level,likely intent,39,69,-30
failures_only,instance_level,likely intent change,0,1,-1
failures_only,instance_level,logic,0,2,-2
failures_only,instance_level,metaclass introduction,0,1,-1
failures_only,instance_level,minor,0,1,-1
failures_only,instance_level,misc,0,1,-1
failures_only,instance_level,modification,34570,43089,-8519
failures_only,instance_level,move,1,0,1
failures_only,instance_level,movement,0,1,-1
failures_only,instance_level,note,2,5,-3
failures_only,instance_level,object,0,1,-1
failures_only,instance_level,overall,0,2,-2
failures_only,instance_level,patch,1,0,1
failures_only,instance_level,refactor,8,13,-5
failures_only,instance_level,reformatting,1,3,-2
failures_only,instance_level,relocation,0,6,-6
failures_only,instance_level,removal,2348,2492,-144
failures_only,instance_level,removal/addition,0,1,-1
failures_only,instance_level,renaming,2,8,-6
failures_only,instance_level,reorder imports,0,1,-1
failures_only,instance_level,reordering,1,6,-5
failures_only,instance_level,reorganization,1,0,1
failures_only,instance_level,replacement,9,5,4
failures_only,instance_level,reposition,1,0,1
failures_only,instance_level,risk,1,3,-2
failures_only,instance_level,summary,2,1,1
failures_only,instance_level,summary change,0,1,-1
failures_only,instance_level,unknown,1761,1747,14
