quantitative_metric,complexity_metric,method,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
gt_sloc,h_difficulty,agent,1100,0.3999377928764484,1.663222347560455e-43,0.22653204829593618,2.877046554275124e-14
gt_diff_hunks,mi_score,agent,1100,-0.39950769070201614,2.084414004871791e-43,-0.3375869187766099,1.001586539116686e-30
gt_diff_total_change,lloc,bypass,1100,0.39778991727745316,5.117762262680479e-43,0.2781568227024637,5.401140691441133e-21
gt_diff_lines_added,cc_total,bypass,1100,0.3976316586720337,5.5578167079133256e-43,0.252056332471306,2.1082890735948022e-17
gt_diff_total_change,mi_score,agent,1100,-0.39691739539468085,8.060206039231525e-43,-0.29738923867034533,6.702703745737037e-24
gt_diff_hunks,cc_avg,bypass,1100,0.39651167916288704,9.951128563272555e-43,0.14985119400565472,5.958215564186982e-07
gt_diff_total_change,h_bugs,bypass,1100,0.3961387279603225,1.2075207087157935e-42,0.3089797546442851,9.216335604189463e-26
bypass_vs_gt_diff_hunks,sloc,bypass,1094,-0.3925857182647051,1.248043460856949e-41,-0.4211711714916221,2.8428950511177915e-48
gt_diff_lines_added,sloc,bypass,1100,0.3899487815859302,2.889320449683315e-41,0.2695045017814942,9.274778371676509e-20
bypass_vs_gt_diff_hunks,lloc,ground_truth,1094,-0.3897899708803114,5.148483416781718e-41,-0.39667158430782534,1.5347867693251636e-42
gt_diff_lines_added,lloc,bypass,1100,0.3854893288026185,2.7296026087793953e-40,0.23710754259900704,1.6005084813079325e-15
bypass_vs_gt_diff_hunks,sloc,agent,1094,-0.38274908592950413,1.7200012806606097e-39,-0.3092761059274345,1.116892806272592e-25
gt_diff_lines_added,h_bugs,bypass,1100,0.3795213506254176,5.2231286032177184e-39,0.24915988102129158,4.9905328874116475e-17
gt_diff_lines_removed,lloc,ground_truth,1100,0.3794420668616416,5.4297646156626057e-39,0.22763987449619982,2.1399878901843097e-14
gt_diff_lines_added,h_difficulty,ground_truth,1100,0.37646784222572494,2.309604698105912e-38,0.30268127731766664,9.697911013064028e-25
gt_diff_lines_removed,h_bugs,ground_truth,1100,0.3759697837555075,2.9389372612855624e-38,0.27355276727006184,2.4836257704323658e-20
gt_diff_total_change,sloc,agent,1100,0.37479397873487086,5.182374369512113e-38,0.21218020664562018,1.1576500512146982e-12
gt_diff_total_change,h_difficulty,ground_truth,1100,0.3743842317655685,6.311535386672484e-38,0.2937184054004413,2.502710731858962e-23
