method,complexity_metric,performance_metric,n_samples,pearson_r,pearson_p,spearman_r,spearman_p
agent,cc_max,exact_match,6315,-0.05567024489516374,9.577307962112442e-06,-0.058000026926757466,3.987039218957919e-06
agent,mi_score,similarity,6315,0.036083693599057685,0.0041329991972369005,0.048721157942775435,0.00010739060078957528
bypass,cc_avg,exact_match,6315,-0.06116247050046674,1.1504377418659997e-06,-0.04783758452455976,0.00014299319514782455
agent,lloc,bleu3,6315,-0.07518653106955023,2.2023605965763594e-09,-0.04755516744200588,0.00015654139930736704
agent,mi_score,rouge_l,6315,0.022427562861352876,0.07472935794102205,0.04570003236604674,0.0002803380411095095
agent,sloc,bleu3,6315,-0.07047930125450451,2.0629115346104252e-08,-0.04404792444546816,0.0004628871709861807
agent,cc_avg,exact_match,6315,-0.03632354998605166,0.0038905313587837913,-0.04394862958551542,0.0004768024207490619
agent,lloc,similarity,6315,-0.06143381938747712,1.0311007659843485e-06,-0.03817115561435636,0.0024145336639116886
bypass,lloc,bleu3,6315,0.08086822604636881,1.2296784356647783e-10,0.034850522213931874,0.005609784758569016
agent,sloc,similarity,6315,-0.056836841734340296,6.201187210263567e-06,-0.03463017097528777,0.0059189923853250484
agent,lloc,rouge_l,6315,-0.061729241075066076,9.147349643270882e-07,-0.03265393586729834,0.009456676065842442
bypass,h_difficulty,bleu3,6315,0.11111519924269393,8.317928724628227e-19,0.03250532440263731,0.009786840953979607
bypass,lloc,rouge_l,6315,0.07861803053598763,3.9501572094022405e-10,0.029681457348883163,0.01833668666434027
agent,sloc,rouge_l,6315,-0.05706515972303484,5.689925742916273e-06,-0.0296339682258822,0.018524063126999137
bypass,sloc,bleu3,6315,0.08906436783240063,1.3375525252582368e-12,0.026964525244455622,0.03213280634199758
bypass,h_effort,bleu3,6315,0.04233760037247009,0.000764649572722799,0.026528281802396643,0.03502442163611704
bypass,h_difficulty,similarity,6315,0.10297159851380856,2.343950309764025e-16,0.025468328177326114,0.04298882192966054
bypass,h_difficulty,rouge_l,6315,0.11322003633588733,1.8051344776368946e-19,0.025133472118383817,0.04580334514675207
bypass,lloc,similarity,6315,0.07395767490038412,4.0025415102381325e-09,0.02465013592619408,0.050138375163491546
agent,cc_avg,bleu3,6315,0.027932622644978602,0.026438142560122342,0.022174936947285877,0.07806204106819821
bypass,cc_count,bleu3,6315,0.06766817258409387,7.346232158571121e-08,0.021769957246479482,0.08365615757559546
bypass,sloc,rouge_l,6315,0.08659855681781164,5.450687122169406e-12,0.02108953543606042,0.09378204444741686
bypass,cc_total,bleu3,6315,0.06904355983500744,3.9706732576532896e-08,0.020969368342279426,0.09566849443646787
bypass,cc_max,bleu3,6315,0.08747061334656293,3.331073992889538e-12,0.020908651908141253,0.09663313999227656
bypass,h_bugs,bleu3,6315,0.052499448508001395,2.9926502701804945e-05,0.0206993933424137,0.10001751160533079
agent,cc_avg,rouge_l,6315,0.042243745799849686,0.0007856061961030318,0.020066001188565514,0.11083992426684361
bypass,h_effort,similarity,6315,0.03595319436695291,0.00427060245101044,0.019987137178795786,0.11224981857686031
bypass,mi_score,similarity,6315,-0.026669311015099288,0.03406623389575229,0.019826953039687796,0.11515701363350023
bypass,h_effort,rouge_l,6315,0.038640111817357076,0.002132347247887284,0.019816151946674913,0.11535515467599249
bypass,mi_score,rouge_l,6315,-0.022828026308246086,0.06968520429812208,0.019556526255553753,0.1201989873741981
agent,cc_avg,similarity,6315,0.03341931482999416,0.007908582464408283,0.01865550959290919,0.1382518674071526
bypass,sloc,similarity,6315,0.07941997176424015,2.61563460123999e-10,0.016486960248571457,0.1901963380401538
bypass,cc_count,rouge_l,6315,0.06751130905788624,7.874342893935406e-08,0.01603688695836596,0.20258101699996534
agent,cc_total,bleu3,6315,-0.05901087037712604,2.697856873881591e-06,-0.015962356204186075,0.20468732459039893
bypass,cc_count,similarity,6315,0.06474562922509867,2.611482128400249e-07,0.015594423544597667,0.21531895649199495
bypass,h_bugs,rouge_l,6315,0.048994589450983735,9.819055742818615e-05,0.015486080017232782,0.2185241165950711
agent,h_effort,bleu3,6315,-0.05797063735062581,4.0321960620482136e-06,-0.01520771491293826,0.22691584563756204
agent,h_bugs,bleu3,6315,-0.06411689357459134,3.4070634734416497e-07,-0.015157781712957263,0.22844514043574074
bypass,cc_avg,rouge_l,6315,0.08235163136777297,5.5988284266894985e-11,0.0149509218068815,0.23485873859616113
bypass,h_bugs,similarity,6315,0.04484055785691843,0.0003646465457601628,0.014934006601460093,0.23538876942707326
bypass,cc_avg,bleu3,6315,0.07442497299760806,3.192711331886188e-09,0.014577531926138273,0.24675608495188422
bypass,cc_total,rouge_l,6315,0.06684179363324033,1.057184110453266e-07,0.014493858748951474,0.24947907669387914
bypass,cc_max,rouge_l,6315,0.07932339103601288,2.749364306770657e-10,0.014250856809139094,0.25750590047359545
agent,cc_total,similarity,6315,-0.04663765076697555,0.00020936779556724646,-0.014164192537041462,0.2604114581251989
agent,h_bugs,similarity,6315,-0.053845868129284054,1.8586560116784437e-05,-0.01407905552234108,0.26328781895893916
agent,h_effort,similarity,6315,-0.05079281910468988,5.387230358255481e-05,-0.013968164467894848,0.2670670444373147
bypass,mi_score,bleu3,6315,-0.033054746797896564,0.008615183428470003,0.01381731991872037,0.2722675280003996
agent,cc_count,bleu3,6315,-0.05054725451550648,5.8542212687173086e-05,-0.013242839059632219,0.29270497407244356
agent,cc_count,similarity,6315,-0.04134681574341288,0.0010145474027922511,-0.012701673652884157,0.3128765846888971
bypass,cc_total,similarity,6315,0.061622024323589826,9.554251835449795e-07,0.012661759069071205,0.3143997820378822
agent,h_difficulty,bleu3,6315,-0.030666908433435697,0.014805700724689149,-0.012550875155784071,0.3186568100150626
agent,h_difficulty,similarity,6315,-0.01646346687327051,0.1908286916463245,-0.011826147802944883,0.34740481743130824
bypass,cc_max,similarity,6315,0.07211217019253144,9.644155797301812e-09,0.00996226834743658,0.4286323014951766
agent,cc_total,rouge_l,6315,-0.04598655386798563,0.0002565583786496102,-0.009794066317863488,0.4364691506459941
agent,h_effort,rouge_l,6315,-0.05672571744270905,6.465648075113335e-06,-0.009766312028207727,0.43777016287373893
agent,h_bugs,rouge_l,6315,-0.05620375053492611,7.858966566576783e-06,-0.009638571549306174,0.44378681745097903
agent,h_difficulty,rouge_l,6315,0.002639626231298311,0.8338846924501625,-0.007937877285842002,0.5282470629846125
bypass,cc_avg,similarity,6315,0.06877357773892918,4.4845376672806995e-08,0.007672815340798901,0.5421111155404001
agent,cc_count,rouge_l,6315,-0.03937073410147579,0.0017524301502264085,-0.007238411367813786,0.5652180453567002
agent,cc_max,rouge_l,6315,0.007692375206973072,0.5410818696422112,0.0051896806762945545,0.6800980338847002
agent,cc_max,bleu3,6315,-0.01530624369578453,0.223919664604982,0.0037869453821788492,0.7635070719005062
agent,cc_max,similarity,6315,-0.0015253671670370343,0.9035386531711841,0.0022930474719743575,0.8554369859306663
