repo_norm,repo,evaluated_row_count,evaluated_instance_count,benchmark_scenario_count,conflict_files_total,conflict_files_median,merge_conflicts_total,merge_conflicts_median,merge_parent_count_median,default_branch,license,stargazers,created_at,topics,programming_language,commits,branches,releases,forks,watchers,contributors,blank_lines,code_lines,comment_lines,last_commit,dominant_difficulty,dominant_project_size,difficulty_easy_scenario_count,difficulty_hard_scenario_count,difficulty_medium_scenario_count,project_size_medium_scenario_count,project_size_small_scenario_count,project_size_large_scenario_count,project_size_huge_scenario_count,active_span_days,active_span_years,repository_age_days,repository_age_years,commits_per_year,code_lines_per_contributor,stars_per_year,metadata_matched
Blaizzy/mlx-audio,Blaizzy/mlx-audio,24,2,2,3,1.5,4,2.0,2.0,main,MIT License,2503,2024-11-27T09:14:34Z,apple-silicon;audio-processing;mlx;multimodal;speech-recognition;speech-synthesis;speech-to-text;text-to-speech;transformers,python,130,23,9,191,24,17,7105,2163753,4215,2025-07-12T07:17:07Z,easy,huge,1,1,0,0,0,0,2,226,0.6187542778918549,246,0.6735112936344969,210.0995575221239,127279.58823529411,3716.344512195122,True
Blaizzy/mlx-vlm,Blaizzy/mlx-vlm,40,3,3,5,1.0,6,2.0,2.0,main,MIT License,1532,2024-04-16T03:10:12Z,apple-silicon;florence2;idefics;llava;llm;local-ai;mlx;molmo;paligemma;pixtral;vision-framework;vision-language-model;vision-transformer,python,308,6,47,153,19,34,6142,27071,4293,2025-07-22T04:19:26Z,easy,medium,1,1,1,3,0,0,0,462,1.264887063655031,471,1.2895277207392197,243.49999999999997,796.2058823529412,1188.031847133758,True
boxed/mutmut,boxed/mutmut,8,1,1,1,1.0,3,3.0,2.0,main,BSD 3-Clause New or Revised License,1109,2016-11-13T09:20:19Z,mutation-testing;python;testing,python,548,12,0,126,14,30,1167,3257,624,2025-07-30T08:40:33Z,medium,small,0,0,1,0,1,0,0,3180,8.706365503080082,3182,8.711841204654347,62.94245283018868,108.56666666666666,127.29800439974858,True
BrainBlend-AI/atomic-agents,BrainBlend-AI/atomic-agents,16,2,2,2,1.0,3,1.5,2.0,main,MIT License,4538,2024-06-03T08:24:07Z,ai;artificial-intelligence;large-language-model;large-language-models;llms;openai;openai-api,python,729,8,39,373,48,22,3826,13701,3425,2025-07-31T11:41:18Z,easy,medium,1,0,1,2,0,0,0,423,1.158110882956879,423,1.158110882956879,629.4734042553191,622.7727272727273,3918.450354609929,True
burnash/gspread,burnash/gspread,8,1,1,1,1.0,1,1.0,2.0,master,MIT License,7330,2011-12-02T10:46:20Z,google-sheets;google-sheets-api;google-sheets-api-v4;gspread;spreadsheet;spreadsheets,python,2034,11,66,965,156,165,3243,169502,3224,2025-07-05T10:18:47Z,easy,large,1,0,0,0,0,1,0,4963,13.587953456536619,4990,13.661875427789186,149.69141648196654,1027.2848484848485,536.5295591182364,True
camel-ai/oasis,camel-ai/oasis,40,3,3,5,1.0,7,1.0,2.0,main,Apache License 2.0,1622,2024-11-13T05:20:49Z,agent-based-framework;agent-based-simulation;ai-societies;deep-learning;large-language-models;large-scale;llm-agents;multi-agent-systems;natural-language-processing,python,857,22,5,179,19,22,3845,34268,3363,2025-07-30T04:01:24Z,easy,medium,2,1,0,3,0,0,0,258,0.7063655030800822,260,0.7118412046543463,1213.252906976744,1557.6363636363637,2278.598076923077,True
capsize-games/airunner,capsize-games/airunner,24,3,3,3,1.0,10,2.0,2.0,master,Apache License 2.0,1214,2023-03-21T07:14:03Z,ai;ai-art;art;asset-generator;chatbot;deep-learning;desktop-app;image-generation;mistral;multimodal;privacy;pygame;pyside6;python;self-hosted;speech-to-text;stable-diffusion;text-to-image;text-to-speech;text-to-speech-app,python,11808,18,234,96,10,8,24263,167861,22858,2025-07-15T02:33:02Z,medium,large,1,0,2,0,0,3,0,846,2.316221765913758,863,2.3627652292950034,5097.95744680851,20982.625,513.8047508690614,True
chonkie-inc/chonkie,chonkie-inc/chonkie,16,1,1,2,2.0,2,2.0,2.0,main,MIT License,1870,2025-03-29T05:10:03Z,ai;chonkie;chunker;chunking-algorithm;llms;rag;retrieval-systems;semantic-chunker;similarity-search;splitting-algorithms;text-splitter,python,774,11,20,100,7,9,7326,28709,9645,2025-07-22T01:46:47Z,hard,medium,0,1,0,1,0,0,0,114,0.31211498973305957,124,0.3394934976043806,2479.8552631578946,3189.8888888888887,5508.20564516129,True
chubin/cheat.sh,chubin/cheat.sh,8,1,1,1,1.0,1,1.0,2.0,master,MIT License,39747,2017-05-07T09:40:56Z,cheatsheet;cli;command-line;curl;documentation;examples;hacktoberfest2021;help;terminal;tldr,python,921,10,0,1839,580,55,2243,8333,1445,2025-07-29T06:15:41Z,easy,small,1,0,0,0,1,0,0,3004,8.224503764544833,3007,8.232717316906228,111.98244007989346,151.5090909090909,4827.932075157965,True
chubin/wttr.in,chubin/wttr.in,8,1,1,1,1.0,7,7.0,2.0,master,Apache License 2.0,27170,2015-12-26T09:03:43Z,ascii-art;curl;terminal;weather;weather-api;weather-app;weather-information,python,1524,8,0,1162,226,189,3003,23352,1740,2025-07-30T04:54:06Z,medium,medium,0,0,1,1,0,0,0,3503,9.59069130732375,3505,9.596167008898014,158.9040822152441,123.55555555555556,2831.3388017118405,True
circlemind-ai/fast-graphrag,circlemind-ai/fast-graphrag,8,1,1,1,1.0,1,1.0,2.0,main,MIT License,3331,2024-10-30T06:05:08Z,,python,248,7,0,195,16,10,2499,146868,1143,2025-06-21T10:02:24Z,easy,large,1,0,0,0,0,1,0,234,0.6406570841889117,274,0.7501711156741958,387.10256410256414,14686.8,4440.320255474452,True
comet-ml/opik,comet-ml/opik,56,5,5,7,1.0,8,1.0,2.0,main,Apache License 2.0,11908,2023-05-10T12:57:13Z,langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering,python,2426,207,160,823,81,63,61822,441494,47135,2025-07-30T03:14:09Z,easy,large,3,1,1,0,0,5,0,811,2.220396988364134,812,2.223134839151266,1092.5974106041924,7007.841269841269,5356.4002463054185,True
confident-ai/deepeval,confident-ai/deepeval,112,6,6,14,2.5,26,4.5,2.0,main,Apache License 2.0,9606,2023-08-10T05:35:04Z,evaluation-framework;evaluation-metrics;llm-evaluation;llm-evaluation-framework;llm-evaluation-metrics,python,5794,226,51,835,38,174,24119,87948,7317,2025-07-28T06:30:12Z,hard,medium,1,4,1,6,0,0,0,718,1.9657768651608487,721,1.9739904175222451,2947.435236768802,505.44827586206895,4866.285020804438,True
cpacker/MemGPT,cpacker/MemGPT,824,49,49,103,1.0,198,2.0,2.0,main,Apache License 2.0,12073,2023-10-11T07:38:37Z,chat;chatbot;gpt;gpt-4;llm;llm-agent,python,1464,119,46,1335,116,92,8292,33640,11576,2024-11-05T12:03:52Z,hard,medium,19,21,9,49,0,0,0,391,1.0704996577686516,659,1.8042436687200547,1367.5856777493607,365.6521739130435,6691.44650986343,True
crewAIInc/crewAI,crewAIInc/crewAI,552,45,45,69,1.0,127,1.0,2.0,main,MIT License,35156,2023-10-27T03:26:59Z,agents;ai;ai-agents;aiagentframework;llms,python,1579,657,95,4703,312,249,26219,208675,6274,2025-07-31T02:38:51Z,easy,large,25,13,7,0,0,45,0,642,1.757700205338809,643,1.7604380561259412,898.3329439252336,838.0522088353414,19970.029548989114,True
crewAIInc/crewAI-tools,crewAIInc/crewAI-tools,40,4,4,5,1.0,5,1.0,2.0,main,MIT License,1180,2024-01-11T05:29:13Z,ai;aiagents;crewai;crewai-tools,python,586,90,0,425,29,77,4325,24799,2054,2025-07-30T09:16:04Z,easy,medium,3,1,0,4,0,0,0,566,1.5496235455167693,567,1.5523613963039014,378.15636042402826,322.06493506493507,760.1322751322751,True
custom-components/ble_monitor,custom-components/ble_monitor,8,1,1,1,1.0,1,1.0,2.0,master,MIT License,2044,2019-11-25T04:30:04Z,atc;custom-component;govee;hacs;hassio;home-assistant;homeassistant;inkbird;kegtron;mibeacon;mijia;mitemp-bt;qingping;scales;thermoplus;thermopro;thermplus;xiaomi;xiaomi-sensors,python,2799,21,485,258,42,61,2767,24602,1763,2025-07-26T07:47:53Z,easy,medium,1,0,0,1,0,0,0,2070,5.66735112936345,2075,5.68104038329911,493.88152173913045,403.3114754098361,359.7932530120482,True
cyclotruc/gitingest,cyclotruc/gitingest,24,2,2,3,1.5,6,3.0,2.0,main,MIT License,10773,2024-11-29T08:27:18Z,ai;code;ingestion,python,339,12,3,803,44,50,1726,5284,2040,2025-07-08T01:13:18Z,hard,small,0,1,1,0,2,0,0,220,0.6023271731690623,244,0.6680355920602327,562.8170454545455,105.68,16126.386270491805,True
datadog/integrations-core,datadog/integrations-core,80,8,8,10,1.0,15,2.0,2.0,master,BSD 3-Clause New or Revised License,1038,2015-12-01T04:41:45Z,datadog;datadog-agent;dd;integrations,python,18582,403,37,1470,534,383,127445,2500524,67831,2025-07-30T03:22:00Z,easy,huge,3,2,3,0,0,0,8,3528,9.659137577002053,3530,9.664613278576317,1923.7742346938776,6528.783289817233,107.40212464589236,True
datafolklabs/cement,datafolklabs/cement,8,1,1,1,1.0,1,1.0,2.0,main,BSD 3-Clause New or Revised License,1286,2009-12-05T04:04:12Z,,python,1637,35,0,118,27,37,4607,10531,4424,2025-06-10T06:44:15Z,easy,medium,1,0,0,1,0,0,0,5666,15.512662559890487,5717,15.652292950034223,105.52669431697846,284.6216216216216,82.16048626902221,True
daya0576/beaverhabits,daya0576/beaverhabits,32,3,3,4,1.0,4,1.0,2.0,main,BSD 3-Clause New or Revised License,1410,2024-03-11T02:54:02Z,habit-tracker;habits;python;streaks,python,453,30,19,50,8,9,1533,5215,585,2025-07-29T07:59:30Z,easy,small,2,1,0,0,3,0,0,505,1.3826146475017111,507,1.3880903490759753,327.640099009901,579.4444444444445,1015.7840236686391,True
dbt-labs/dbt-core,dbt-labs/dbt-core,160,7,7,20,1.0,39,3.0,2.0,main,Apache License 2.0,11185,2016-03-10T02:38:00Z,analytics;business-intelligence;data-modeling;dbt-viewpoint;elt;pypa;slack,python,7136,731,283,1781,146,302,28222,245677,33277,2025-07-29T03:05:30Z,easy,large,3,3,1,0,0,7,0,3428,9.385352498288844,3430,9.390828199863108,760.3337222870477,813.5,1191.0557580174925,True
deepdoctection/deepdoctection,deepdoctection/deepdoctection,16,1,1,2,2.0,6,6.0,2.0,master,Apache License 2.0,2903,2021-12-09T06:43:29Z,document-ai;document-image-analysis;document-layout-analysis;document-parser;document-understanding;layoutlm;nlp;ocr;publaynet;pubtabnet;python;pytorch;table-detection;table-recognition;tensorflow,python,1642,47,51,164,21,12,11598,41881,17920,2025-07-29T11:23:39Z,hard,medium,0,1,0,1,0,0,0,1328,3.6358658453114305,1330,3.6413415468856947,451.61182228915663,3490.0833333333335,797.2336466165414,True
dgtlmoon/changedetection.io,dgtlmoon/changedetection.io,24,3,3,3,1.0,3,1.0,2.0,master,Apache License 2.0,25719,2021-01-27T04:03:30Z,back-in-stock;change-alert;change-detection;change-monitoring;monitoring;notifications;restock-monitor;rss;self-hosted;url-monitor;web-scraping;website-change-detection;website-change-detector;website-change-monitor;website-change-notification;website-change-tracker;website-defacement-monitoring;website-monitor;website-monitoring;website-watcher,python,1855,411,144,1415,105,103,7398,29363,5629,2025-07-30T03:47:07Z,easy,medium,3,0,0,3,0,0,0,1644,4.501026694045175,1646,4.506502395619439,412.12819343065695,285.07766990291265,5707.086725394896,True
