model,method,scenario_metric,performance_metric,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
LLaMA-3.1-8B,Bypass (Multi),n_conflict_files,rouge_l,1888,-0.19808120519459294,3.7094206717028365e-18,-0.03652704454707359,0.11259887198135929
LLaMA-3.1-8B,Bypass (Multi),n_conflict_files,similarity,1888,-0.1977232647617786,4.270295720743845e-18,-0.04809497055305559,0.036653237161073236
All Models (avg),Bypass (Multi),n_conflict_files,rouge_l,1888,-0.1971379149085357,5.372911255793176e-18,-0.05220746230620622,0.023297681780455368
All Models (avg),Bypass (Multi),n_conflict_files,bleu3,1888,-0.19645521058462495,7.017100911132048e-18,-0.06502075840845865,0.004708254216643528
LLaMA-3.1-8B,Bypass (Multi),n_conflict_files,bleu3,1888,-0.19565929327396447,9.567490760449469e-18,-0.048273598764250664,0.03596033425591972
All Models (avg),Bypass (Multi),n_conflict_files,similarity,1888,-0.19509278005299283,1.1920122022320251e-17,-0.060290301693703696,0.00878446892960537
GPT-5-nano,Agent (Single),n_total_conflicts,exact_match,1888,-0.1862553313881845,3.3742303805820854e-16,-0.1050050136919484,4.82610027872254e-06
All Models (avg),Agent (Single),n_total_conflicts,exact_match,1888,-0.1862553313881845,3.3742303805820854e-16,-0.1050050136919484,4.82610027872254e-06
GPT-5-nano,Bypass (Multi),n_total_conflicts,rouge_l,1888,-0.18583139832497111,3.945054051873143e-16,-0.02564029806507688,0.26547446038753564
GPT-5-nano,Bypass (Multi),n_total_conflicts,bleu3,1888,-0.18236020251167753,1.3988952503004286e-15,-0.03656231332729594,0.11225188525162412
GPT-5-nano,Bypass (Multi),n_total_conflicts,similarity,1888,-0.18087788154138332,2.383726805147652e-15,-0.03301064875588766,0.15163204828470578
GPT-5-nano,Bypass (Multi),n_conflict_files,bleu3,1888,-0.1687410019206369,1.5815894131344823e-13,-0.04145262454040695,0.07174321380888161
LLaMA-3.1-8B,Agent (Single),repo_commits,rouge_l,1888,-0.16614386489223404,3.733062935569799e-13,-0.16436809694297355,6.663138164609435e-13
GPT-5-nano,Bypass (Multi),n_conflict_files,rouge_l,1888,-0.16611430204110245,3.769439253161951e-13,-0.035148254901184825,0.12683777478666322
LLaMA-3.1-8B,Agent (Single),repo_commits,bleu3,1888,-0.16209593977756626,1.3855045305803198e-12,-0.13857195555154672,1.4820041675182226e-09
LLaMA-3.1-8B,Agent (Single),repo_commits,similarity,1888,-0.1609582489995279,1.9911610179246557e-12,-0.1453971567829131,2.192092414268191e-10
GPT-5-nano,Bypass (Multi),n_conflict_files,similarity,1888,-0.15849506140941005,4.327565022981974e-12,-0.03718491510585467,0.10626418267535404
All Models (avg),Bypass (Multi),n_conflict_files,exact_match,1888,-0.15547050740622104,1.1041108386914562e-11,-0.11287282836281906,8.791513428694376e-07
All Models (avg),Agent (Single),n_total_conflicts,similarity,1888,-0.15467325836169646,1.4090127327700153e-11,-0.06110865229624551,0.007908221274340599
Qwen3-32B,Agent (Single),n_conflict_files,rouge_l,1888,-0.15410936652953736,1.6729677753287943e-11,-0.07737507301287347,0.0007658460504638619
All Models (avg),Bypass (Multi),n_total_conflicts,exact_match,1888,-0.1498086453702965,6.070457904480361e-11,-0.08410901569739346,0.00025350271111538886
Qwen3-32B,Agent (Single),n_conflict_files,bleu3,1888,-0.1463000294595184,1.690781625277422e-10,-0.08347763301026212,0.0002821789583431732
All Models (avg),Agent (Single),repo_contributors,bleu3,1888,-0.13815247370251604,1.6617631818937894e-09,-0.11417536120331837,6.557341555271365e-07
All Models (avg),Agent (Single),n_conflict_files,exact_match,1888,-0.1361418137246394,2.862960971094071e-09,-0.10173830544884502,9.457781303578273e-06
GPT-5-nano,Agent (Single),n_conflict_files,exact_match,1888,-0.1361418137246394,2.862960971094071e-09,-0.10173830544884502,9.457781303578273e-06
Qwen3-32B,Bypass (Multi),n_conflict_files,exact_match,1888,-0.1306555959707545,1.2135451860810149e-08,-0.10417064075948244,5.741872793954882e-06
Qwen3-32B,Agent (Single),n_conflict_files,similarity,1888,-0.1304396651843072,1.2829945514015031e-08,-0.0820222850870723,0.0003602487533872918
LLaMA-3.1-8B,Agent (Single),repo_code_lines,bleu3,1888,-0.12828563254631264,2.2242286069331166e-08,-0.048057212596314305,0.03680114728541
LLaMA-3.1-8B,Agent (Single),repo_contributors,bleu3,1888,-0.12722920510149052,2.903691545238425e-08,-0.11273762306666386,9.061524523418327e-07
LLaMA-3.1-8B,Agent (Single),repo_code_lines,rouge_l,1888,-0.12636791934620364,3.602839657968397e-08,-0.0483185154203842,0.03578786794217195
All Models (avg),Agent (Single),repo_commits,bleu3,1888,-0.12589558607215884,4.052881735459452e-08,-0.12802189374718048,2.377767788404697e-08
LLaMA-3.1-8B,Bypass (Multi),n_total_conflicts,exact_match,1888,-0.12519491899291632,4.822266151761545e-08,-0.0822855046105754,0.00034477913103971356
LLaMA-3.1-8B,Agent (Single),repo_contributors,rouge_l,1888,-0.12498436763895485,5.079898563227778e-08,-0.1118944377375257,1.0934335726760039e-06
All Models (avg),Agent (Single),repo_code_lines,bleu3,1888,-0.12471480256654165,5.4292559238683327e-08,-0.052035682130354144,0.02375658232724912
LLaMA-3.1-8B,Agent (Single),repo_code_lines,similarity,1888,-0.1241819854432402,6.189505297175245e-08,-0.047036023079408754,0.04099846885922131
LLaMA-3.1-8B,Bypass (Multi),n_conflict_files,exact_match,1888,-0.1211147900124903,1.3022436568900224e-07,-0.0961529994075676,2.8530658771993068e-05
All Models (avg),Agent (Single),n_total_conflicts,rouge_l,1888,-0.12082549075557682,1.3955875316125857e-07,-0.03101387068900622,0.17797410815312778
LLaMA-3.1-8B,Agent (Single),repo_contributors,similarity,1888,-0.1190948050075997,2.1045683561931394e-07,-0.10440369815394421,5.470587091616406e-06
Qwen3-32B,Bypass (Multi),n_total_conflicts,exact_match,1888,-0.11792733006505844,2.7676261345201405e-07,-0.06222555956453296,0.006838650214741595
All Models (avg),Agent (Single),repo_contributors,rouge_l,1888,-0.11729827309591254,3.2042669538533185e-07,-0.0926087035505843,5.578877025627945e-05
All Models (avg),Agent (Single),repo_commits,rouge_l,1888,-0.10800856355044026,2.554247005720772e-06,-0.13109909013906854,1.0821644913830746e-08
All Models (avg),Agent (Single),repo_contributors,similarity,1888,-0.10725480905998666,3.001255973354859e-06,-0.086529424829865,0.00016696776244319944
All Models (avg),Agent (Single),n_total_conflicts,bleu3,1888,-0.1035649589391939,6.508390139445996e-06,-0.04831735874609637,0.03579230036185564
All Models (avg),Agent (Single),repo_code_lines,rouge_l,1888,-0.0981093955260122,1.95082677491841e-05,-0.0380222611258271,0.09861347658959356
Qwen3-32B,Bypass (Multi),repo_commits,exact_match,1888,-0.09655296471282838,2.641261797747611e-05,-0.045319710337647964,0.04896460673924255
All Models (avg),Agent (Single),repo_code_lines,similarity,1888,-0.0944566141253618,3.944253783300226e-05,-0.03460807952805196,0.13278380098798437
Qwen3-32B,Bypass (Multi),repo_contributors,exact_match,1888,-0.08955032338959326,9.766728803859642e-05,-0.0661660239195257,0.004024485603690375
Qwen3-32B,Agent (Single),n_total_conflicts,rouge_l,1888,-0.08892381038937944,0.00010930647809797717,-0.027611286541387215,0.23045973674766926
LLaMA-3.1-8B,Agent (Single),n_conflict_files,bleu3,1888,0.0882058014888056,0.0001242505059942065,0.09263780199126184,5.54877199716155e-05
All Models (avg),Agent (Single),repo_commits,similarity,1888,-0.08811558400769137,0.00012625882923548092,-0.11034187192263403,1.5399190260184808e-06
LLaMA-3.1-8B,Agent (Single),n_conflict_files,similarity,1888,0.08070717629111482,0.00044773252714932864,0.08646035855649675,0.0001689942677558412
Qwen3-32B,Agent (Single),n_total_conflicts,similarity,1888,-0.07979074640577566,0.0005200027176514091,-0.04033007379164252,0.07978427235327984
GPT-5-nano,Bypass (Multi),n_conflict_files,exact_match,1888,-0.07783056703957945,0.000712506661105744,-0.061682931777928336,0.007340895711644478
GPT-5-nano,Agent (Single),repo_contributors,rouge_l,1888,-0.07488883602981757,0.0011282578016270192,-0.0543487835117688,0.018191493317148606
GPT-5-nano,Bypass (Multi),n_total_conflicts,exact_match,1888,-0.07479601436521663,0.0011444499757604944,-0.05158862995272685,0.024987755987213294
Qwen3-32B,Agent (Single),repo_commits,similarity,1888,0.07384353714967526,0.0013234584380337666,0.041344998251549525,0.07248421862094012
Qwen3-32B,Agent (Single),repo_commits,rouge_l,1888,0.07317208447410353,0.0014647961326204311,0.02048396255724535,0.37370486628222865
Qwen3-32B,Bypass (Multi),repo_code_lines,exact_match,1888,-0.07291264948496776,0.0015230340269379607,-0.032211177220739504,0.1617986247073728
All Models (avg),Agent (Single),n_conflict_files,similarity,1888,-0.07173925777587285,0.0018140058206419442,-0.00992547187949718,0.6664699102586691
GPT-5-nano,Agent (Single),repo_contributors,bleu3,1888,-0.07122251486985445,0.001957659761117262,-0.05726863985249082,0.012818178558070775
All Models (avg),Agent (Single),n_conflict_files,rouge_l,1888,-0.0684686875604791,0.0029149782439184435,-0.0032812021115223734,0.8867025547383729
GPT-5-nano,Bypass (Multi),repo_code_lines,similarity,1888,0.06782290129327577,0.003193978424255954,0.052691603219089986,0.02204546958745232
GPT-5-nano,Agent (Single),repo_contributors,similarity,1888,-0.0675194127054041,0.0033333151974733305,-0.051858540508046655,0.024237991350173085
Qwen3-32B,Agent (Single),n_total_conflicts,bleu3,1888,-0.06691263386549365,0.0036286095763379627,-0.02877952339675039,0.21132391645552012
All Models (avg),Bypass (Multi),repo_commits,exact_match,1888,-0.06605763858098768,0.004085103424229427,-0.03112610061832984,0.1764086401806429
GPT-5-nano,Bypass (Multi),repo_code_lines,bleu3,1888,0.06312533897537442,0.006073494411541748,0.046344852452212364,0.044063728927553426
Qwen3-32B,Agent (Single),repo_commits,bleu3,1888,0.0629616657083477,0.0062066669593257295,0.024366287926796213,0.28996496953012607
GPT-5-nano,Bypass (Multi),repo_code_lines,rouge_l,1888,0.06271721404790663,0.006410459407253515,0.05126137539436011,0.025923654370351778
GPT-5-nano,Bypass (Multi),repo_commits,bleu3,1888,0.06173509157258272,0.007291220262502804,0.05792466181455311,0.011824519458371171
LLaMA-3.1-8B,Bypass (Multi),repo_commits,exact_match,1888,-0.06089982997582146,0.00812404854849695,-0.034228033693785395,0.13709482839871823
All Models (avg),Bypass (Multi),repo_commits,bleu3,1888,0.057861465367621746,0.011917177546054668,0.04987767726082496,0.030223066813629667
LLaMA-3.1-8B,Bypass (Multi),repo_code_lines,exact_match,1888,-0.056966451187441654,0.013300231301625743,-0.018323108865790947,0.4262069182116407
All Models (avg),Bypass (Multi),repo_contributors,exact_match,1888,-0.05675767233731209,0.013642562378618992,-0.03498946944642897,0.12856372182607606
GPT-5-nano,Bypass (Multi),repo_commits,similarity,1888,0.05605353119789126,0.014855159467969592,0.040610987389156014,0.0777063780879427
GPT-5-nano,Bypass (Multi),repo_commits,rouge_l,1888,0.05440309986301837,0.018075836019610637,0.03763514784903793,0.10209401573169509
All Models (avg),Bypass (Multi),repo_code_lines,exact_match,1888,-0.05435030346853177,0.01818824804665195,-0.022259234069145234,0.33371007461807795
All Models (avg),Bypass (Multi),repo_commits,similarity,1888,0.05224424587327566,0.023200422387662588,0.022405274596525263,0.3305474851272807
All Models (avg),Bypass (Multi),repo_commits,rouge_l,1888,0.050646076153751905,0.027765511295593195,0.02032015666440377,0.3775389317695993
All Models (avg),Bypass (Multi),repo_code_lines,similarity,1888,0.04974093550647256,0.030679438492841434,0.019215077803534396,0.40403264714398207
All Models (avg),Bypass (Multi),repo_code_lines,rouge_l,1888,0.044747114962622105,0.051895643378295456,0.01963833903624431,0.39375637094534227
GPT-5-nano,Agent (Single),repo_commits,bleu3,1888,-0.043737420633419954,0.057421227564938726,-0.04667814103164045,0.04256231252398327
All Models (avg),Bypass (Multi),repo_code_lines,bleu3,1888,0.043566479666007296,0.05840345271253086,0.01600906125630601,0.48693277132450047
LLaMA-3.1-8B,Agent (Single),n_conflict_files,rouge_l,1888,0.041874317789518244,0.06889938646112309,0.0899891062130675,9.022297976590275e-05
GPT-5-nano,Agent (Single),repo_commits,exact_match,1888,-0.04023453163470832,0.08050118999990838,-0.02181248562936325,0.3435053017579763
All Models (avg),Agent (Single),repo_commits,exact_match,1888,-0.04023453163470832,0.08050118999990838,-0.02181248562936325,0.3435053017579763
Qwen3-32B,Agent (Single),repo_contributors,similarity,1888,0.039252526446039465,0.08817691967526628,0.02587518023821176,0.2611194594519059
GPT-5-nano,Bypass (Multi),repo_commits,exact_match,1888,0.038449165193499175,0.09488563715670656,0.013544035383024716,0.55643781945669
LLaMA-3.1-8B,Bypass (Multi),repo_contributors,exact_match,1888,-0.03774571723813834,0.1010900626095832,-0.028902489252302054,0.20937855103078337
Qwen3-32B,Agent (Single),repo_code_lines,similarity,1888,0.036835980898633464,0.10958800398866436,0.01015151971423096,0.6593475477133209
Qwen3-32B,Agent (Single),repo_contributors,rouge_l,1888,0.03647800023726515,0.1130827909011505,0.01820815508884558,0.4291153738960155
GPT-5-nano,Agent (Single),repo_commits,rouge_l,1888,-0.03458034358799515,0.13309483099774286,-0.05509357625740111,0.01666071982666213
Qwen3-32B,Agent (Single),repo_code_lines,rouge_l,1888,0.03381619700137605,0.141887411599933,0.0025640314045695892,0.911349560194087
GPT-5-nano,Agent (Single),repo_contributors,exact_match,1888,-0.0337816782258227,0.14229487877240907,-0.006655864024758755,0.7725688070865298
All Models (avg),Agent (Single),repo_contributors,exact_match,1888,-0.0337816782258227,0.14229487877240907,-0.006655864024758755,0.7725688070865298
GPT-5-nano,Bypass (Multi),repo_contributors,exact_match,1888,0.03370530288132298,0.14319962018130628,0.02198426464954807,0.33971743773555635
GPT-5-nano,Agent (Single),repo_code_lines,bleu3,1888,-0.03322284233314726,0.1490170741589328,-0.015230161844230768,0.5083765332904242
LLaMA-3.1-8B,Agent (Single),n_total_conflicts,rouge_l,1888,-0.031688286483984335,0.16872093083765907,0.026687860956715354,0.2464333812270221
Qwen3-32B,Agent (Single),repo_contributors,bleu3,1888,0.030406095171490746,0.18663167238469766,0.016210735272627164,0.48146117370032576
GPT-5-nano,Bypass (Multi),repo_contributors,bleu3,1888,0.02909902296776771,0.20629628006683642,0.023967017356531433,0.2979434969347323
GPT-5-nano,Agent (Single),repo_commits,similarity,1888,-0.02905065387376391,0.2070517885945369,-0.05615076531760575,0.014682255982910977
GPT-5-nano,Agent (Single),repo_code_lines,rouge_l,1888,-0.029031748830390003,0.2073476235394498,-0.008624566864692113,0.7080279793067229
GPT-5-nano,Agent (Single),repo_code_lines,similarity,1888,-0.028742386850397036,0.21191398966595093,-0.010767462604650942,0.6400978221529938
Qwen3-32B,Bypass (Multi),repo_contributors,rouge_l,1888,-0.0277677108289457,0.22782842039226803,0.003173810067112,0.8903869267332917
All Models (avg),Bypass (Multi),repo_contributors,bleu3,1888,0.027353336374393144,0.23484590496285004,0.013409862901915526,0.5603552794942908
GPT-5-nano,Bypass (Multi),repo_contributors,similarity,1888,0.02733223506812636,0.23520730622766997,0.03150717142404202,0.1711696967605779
All Models (avg),Agent (Single),n_conflict_files,bleu3,1888,-0.027169855879733633,0.2380015324148273,0.004619597734302623,0.8410153947451542
Qwen3-32B,Agent (Single),repo_code_lines,bleu3,1888,0.024221515195405274,0.2928411590142088,-0.004235906856259734,0.8540653610948482
Qwen3-32B,Bypass (Multi),repo_code_lines,rouge_l,1888,-0.0239207201763394,0.2988780347444545,-0.010077765804602633,0.6616680508348153
GPT-5-nano,Bypass (Multi),repo_contributors,rouge_l,1888,0.02349779637142733,0.3075054595670104,0.03106296728920693,0.17728800489740074
All Models (avg),Bypass (Multi),repo_contributors,similarity,1888,0.02202345008640608,0.3388571304451572,0.019269049236842882,0.40271343370251367
Qwen3-32B,Bypass (Multi),repo_contributors,similarity,1888,-0.02158945688219643,0.3484633154617407,0.0014393691505845485,0.9501640116917455
All Models (avg),Bypass (Multi),repo_contributors,rouge_l,1888,0.019673789974664214,0.39290290106428327,0.019834681150031064,0.3890435965991188
Qwen3-32B,Bypass (Multi),repo_contributors,bleu3,1888,-0.01783564480001169,0.43861913048345047,0.0011348130106678747,0.960699139740067
GPT-5-nano,Bypass (Multi),repo_code_lines,exact_match,1888,0.017798654262608918,0.43956941247050096,0.0015762766042833262,0.9454308681004016
Qwen3-32B,Bypass (Multi),repo_code_lines,bleu3,1888,-0.01767470853220428,0.4427621559954604,-0.013060567010061419,0.570615917875014
Qwen3-32B,Bypass (Multi),repo_code_lines,similarity,1888,-0.017466946765202346,0.4481435415584337,-0.011474520749196063,0.6182958613833505
Qwen3-32B,Bypass (Multi),repo_commits,bleu3,1888,0.010684638709273244,0.6426725970964924,0.034073778932488655,0.13887507918377118
LLaMA-3.1-8B,Bypass (Multi),repo_code_lines,rouge_l,1888,-0.010327204485868822,0.6538332285827362,7.384170807093462e-05,0.9974416831694861
LLaMA-3.1-8B,Bypass (Multi),repo_contributors,bleu3,1888,0.009606885184897836,0.676559105276642,0.004953323376262137,0.8297000839923085
LLaMA-3.1-8B,Bypass (Multi),repo_code_lines,bleu3,1888,-0.009316386987852764,0.6858096772198867,-0.0014236841454440393,0.9507063866463812
LLaMA-3.1-8B,Bypass (Multi),repo_commits,bleu3,1888,0.007943235584566085,0.7301549964067378,0.026955054156532245,0.24173371390191778
LLaMA-3.1-8B,Agent (Single),n_total_conflicts,similarity,1888,-0.007454484343965839,0.7461684342554182,0.014414414425687633,0.531354167675353
GPT-5-nano,Agent (Single),repo_code_lines,exact_match,1888,0.00741153377103271,0.747581032618441,0.033225221537254504,0.1489879502124389
All Models (avg),Agent (Single),repo_code_lines,exact_match,1888,0.00741153377103271,0.747581032618441,0.033225221537254504,0.1489879502124389
Qwen3-32B,Bypass (Multi),repo_commits,similarity,1888,0.00715994543956653,0.7558723813145787,0.0065585226354460315,0.7758054194873661
LLaMA-3.1-8B,Bypass (Multi),repo_contributors,similarity,1888,0.0070659546074751944,0.7589772249496087,0.012090049677088993,0.599584930687371
LLaMA-3.1-8B,Bypass (Multi),repo_commits,similarity,1888,0.006419604656059271,0.7804311916485054,0.004492016317280034,0.845349994483786
LLaMA-3.1-8B,Bypass (Multi),repo_contributors,rouge_l,1888,0.006150808938573588,0.78940365835058,0.01184436756861288,0.6070225083617753
LLaMA-3.1-8B,Bypass (Multi),repo_commits,rouge_l,1888,0.005955206069355214,0.7959505913670044,0.00364970279321361,0.8740792233237702
LLaMA-3.1-8B,Agent (Single),n_total_conflicts,bleu3,1888,-0.002985799520711673,0.8968427837259279,0.014911338278106912,0.5172946289070339
LLaMA-3.1-8B,Bypass (Multi),repo_code_lines,similarity,1888,-0.0014574223195135665,0.9495397760961616,-0.0002446834614291656,0.9915228515437736
Qwen3-32B,Bypass (Multi),repo_commits,rouge_l,1888,0.0011661528800439404,0.9596146910978748,0.004774207965258825,0.8357689457652248
Qwen3-32B,Agent (Single),n_conflict_files,exact_match,1888,,,,
Qwen3-32B,Agent (Single),n_total_conflicts,exact_match,1888,,,,
Qwen3-32B,Agent (Single),repo_commits,exact_match,1888,,,,
Qwen3-32B,Agent (Single),repo_code_lines,exact_match,1888,,,,
Qwen3-32B,Agent (Single),repo_contributors,exact_match,1888,,,,
LLaMA-3.1-8B,Agent (Single),n_conflict_files,exact_match,1888,,,,
LLaMA-3.1-8B,Agent (Single),n_total_conflicts,exact_match,1888,,,,
LLaMA-3.1-8B,Agent (Single),repo_commits,exact_match,1888,,,,
LLaMA-3.1-8B,Agent (Single),repo_code_lines,exact_match,1888,,,,
LLaMA-3.1-8B,Agent (Single),repo_contributors,exact_match,1888,,,,
