model_name,stratum,bucket,ablation,metric,n_pairs,mean_delta,ci_low,ci_high,p_value,wins,ties,losses,component_label
openai/gpt-5-nano,conflict_size,501-1000,bj_no_judge,exact_match,392,0.09183673469387756,0.04457908163265309,0.13654336734693873,0.00018775579617929893,63,302,27,Analyzer (routing)
openai/gpt-5-nano,conflict_size,501-1000,bj_no_plan,exact_match,392,0.02806122448979592,-0.015306122448979591,0.06887755102040816,0.2543046661477,44,315,33,Planner+Reviewer
openai/gpt-5-nano,conflict_size,501-1000,bj_no_review,exact_match,392,0.017857142857142856,-0.02806122448979592,0.05612244897959184,0.49438227369550003,42,315,35,Reviewer
openai/gpt-5-nano,conflict_size,51-200,bj_no_summary,exact_match,34,-0.029411764705882353,-0.17647058823529413,0.11764705882352941,1.0,3,27,4,Summarizer
openai/gpt-5-nano,conflict_size,51-200,bj_no_judge,exact_match,34,-0.11764705882352941,-0.29411764705882354,0.029411764705882353,0.2890625,2,26,6,Analyzer (routing)
openai/gpt-5-nano,conflict_size,51-200,bj_no_plan,exact_match,34,-0.08823529411764706,-0.20588235294117646,0.029411764705882353,0.375,1,29,4,Planner+Reviewer
openai/gpt-5-nano,conflict_size,51-200,bj_no_review,exact_match,34,-0.14705882352941177,-0.35294117647058826,0.029411764705882353,0.2265625,3,23,8,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_summary,exact_match,847,0.02243211334120425,0.0023612750885478157,0.04132231404958678,0.027119992403126333,43,780,24,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_judge,exact_match,847,0.1381345926800472,0.11334120425029516,0.1641086186540732,1.9040449764300317e-25,130,704,13,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_plan,exact_match,847,-0.0070838252656434475,-0.015348288075560802,0.0,0.109375,2,837,8,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_review,exact_match,847,-0.0035419126328217238,-0.011806375442739079,0.004722550177095631,0.5810546875,5,834,8,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_summary,exact_match,1654,0.007859733978234583,-0.0048367593712212815,0.020556227327690448,0.2588620001653155,63,1541,50,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_judge,exact_match,1654,0.15598548972188633,0.1396614268440145,0.1750755743651753,3.825671826414297e-67,267,1378,9,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_plan,exact_match,1654,0.005441354292623942,-0.0006045949214026602,0.012091898428053204,0.13604594767093658,19,1625,10,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_review,exact_match,1654,0.0006045949214026602,-0.006363361547762993,0.007255139056831923,1.0,19,1617,18,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_summary,exact_match,113,0.05309734513274336,0.004203539823008941,0.10619469026548672,0.109375,8,103,2,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_judge,exact_match,113,0.13274336283185842,0.07079646017699115,0.20353982300884957,0.000728607177734375,17,94,2,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_plan,exact_match,113,0.0,-0.035398230088495575,0.035398230088495575,1.0,2,109,2,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_review,exact_match,113,0.017699115044247787,-0.017699115044247787,0.05309734513274336,0.625,3,109,1,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_summary,exact_match,804,0.0037313432835820895,-0.014925373134328358,0.021797263681592013,0.7913664277791806,30,747,27,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_judge,exact_match,804,0.13557213930348258,0.11128731343283584,0.15796019900497513,3.047563595444677e-27,115,683,6,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_plan,exact_match,804,0.008706467661691543,0.0,0.01682213930348256,0.09228515625,10,791,3,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_review,exact_match,804,-0.0037313432835820895,-0.013681592039800995,0.006871890547263653,0.6476058959960938,8,785,11,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_summary,exact_match,1442,0.014563106796116505,0.0020804438280166435,0.028103328710124813,0.05044215663996969,63,1337,42,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_judge,exact_match,1442,0.15811373092926492,0.13763869625520112,0.1782246879334258,9.310925420966273e-58,238,1194,10,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_plan,exact_match,1442,-0.0020804438280166435,-0.008321775312066574,0.003831484049930636,0.6636238098144531,9,1421,12,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_review,exact_match,1442,0.0027739251040221915,-0.0027739251040221915,0.008321775312066574,0.480682373046875,11,1424,7,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,small,bj_no_summary,exact_match,142,0.014084507042253521,-0.02482394366197176,0.04929577464788732,0.7265625,5,134,3,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,small,bj_no_judge,exact_match,142,0.1619718309859155,0.09859154929577464,0.2323943661971831,3.39532271027565e-05,27,111,4,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,small,bj_no_plan,exact_match,142,-0.007042253521126761,-0.02112676056338028,0.0,1.0,0,141,1,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,small,bj_no_review,exact_match,142,-0.035211267605633804,-0.07746478873239436,0.0,0.1796875,2,133,7,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1-50,bj_no_summary,exact_match,2002,-0.006993006993006993,-0.017482517482517484,0.0047577422577422465,0.2613502966249506,60,1868,74,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1-50,bj_no_judge,exact_match,2002,0.16483516483516483,0.14585414585414586,0.18181818181818182,1.0532743790006679e-77,352,1628,22,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1-50,bj_no_plan,exact_match,2002,0.0024975024975024975,-0.002997002997002997,0.008753746253746243,0.4995598332025112,20,1967,15,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1-50,bj_no_review,exact_match,2002,-0.0004995004995004995,-0.006755744255744251,0.005994005994005994,1.0,22,1957,23,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1000+,bj_no_summary,exact_match,2135,0.013114754098360656,0.001405152224824356,0.0234192037470726,0.025111377256256825,87,1989,59,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1000+,bj_no_judge,exact_match,2135,0.15456674473067916,0.13911007025761124,0.17073770491803278,3.197278629633908e-96,332,1801,2,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1000+,bj_no_plan,exact_match,2135,0.000468384074941452,-0.00468384074941452,0.005620608899297424,1.0,16,2104,15,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,1000+,bj_no_review,exact_match,2135,-0.000936768149882904,-0.006803278688524586,0.005398126463700224,0.8746293123804207,19,2095,21,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,201-500,bj_no_summary,exact_match,372,0.016129032258064516,-0.010752688172043012,0.04838709677419355,0.4050322461407632,21,336,15,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,201-500,bj_no_judge,exact_match,372,0.13440860215053763,0.08729838709677423,0.17883064516129027,7.8366246313468e-08,69,284,19,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,201-500,bj_no_plan,exact_match,372,0.005376344086021506,-0.010752688172043012,0.021505376344086023,0.75390625,6,362,4,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,201-500,bj_no_review,exact_match,372,0.002688172043010753,-0.013440860215053764,0.01881720430107527,1.0,6,361,5,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,501-1000,bj_no_summary,exact_match,676,0.023668639053254437,0.0007026627218935064,0.04437869822485207,0.044046546102150766,36,620,20,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,501-1000,bj_no_judge,exact_match,676,0.1893491124260355,0.15828402366863906,0.21971153846153843,6.14651311853403e-30,138,528,10,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,501-1000,bj_no_plan,exact_match,676,0.008875739644970414,-0.0014792899408284023,0.019230769230769232,0.210113525390625,11,660,5,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,501-1000,bj_no_review,exact_match,676,0.0014792899408284023,-0.008875739644970414,0.013313609467455622,1.0,9,659,8,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,51-200,bj_no_summary,exact_match,68,0.0,-0.09595588235294103,0.08124999999999967,1.0,5,58,5,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,51-200,bj_no_judge,exact_match,68,0.0,-0.11764705882352941,0.10294117647058823,1.0,8,52,8,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,51-200,bj_no_plan,exact_match,68,-0.014705882352941176,-0.0518382352941175,0.0,1.0,0,67,1,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,conflict_size,51-200,bj_no_review,exact_match,68,-0.014705882352941176,-0.0518382352941175,0.0,1.0,0,67,1,Reviewer
openai/gpt-5-nano,difficulty,easy,bj_no_summary,similarity,874,-0.0028488497476025416,-0.012399529649851368,0.006794757507276486,0.03870895337509812,304,218,352,Summarizer
openai/gpt-5-nano,difficulty,easy,bj_no_judge,similarity,874,0.0140880873705337,0.004085564175505252,0.023542210876796987,9.824705446253199e-06,463,90,321,Analyzer (routing)
openai/gpt-5-nano,difficulty,easy,bj_no_plan,similarity,874,0.0019318707568093227,-0.0070650393918717915,0.011326728108720657,0.05571222014612206,316,198,360,Planner+Reviewer
openai/gpt-5-nano,difficulty,easy,bj_no_review,similarity,874,-0.0031292226211954875,-0.013172044974519046,0.006781272742559131,0.0016823596342212203,298,195,381,Reviewer
openai/gpt-5-nano,difficulty,hard,bj_no_summary,similarity,482,-0.009649551416837689,-0.02319525774530335,0.0035549027528103193,0.08512660688923127,165,126,191,Summarizer
openai/gpt-5-nano,difficulty,hard,bj_no_judge,similarity,482,0.027577551222828522,0.012054964825105598,0.04134322230547497,1.0152547382110767e-05,268,34,180,Analyzer (routing)
openai/gpt-5-nano,difficulty,hard,bj_no_plan,similarity,482,-0.0021934292923226732,-0.01683631839217261,0.013218843708932034,0.026787197432888266,170,96,216,Planner+Reviewer
openai/gpt-5-nano,difficulty,hard,bj_no_review,similarity,482,-0.007909981479972801,-0.022505243573127543,0.005083688761083205,0.1168892642453657,183,79,220,Reviewer
openai/gpt-5-nano,project_size,huge,bj_no_summary,similarity,62,-0.013029919392391271,-0.05588725269866319,0.02327597646628736,0.5991132623903856,20,18,24,Summarizer
openai/gpt-5-nano,project_size,huge,bj_no_judge,similarity,62,0.05794736679530999,0.004261127365015332,0.11657031898923183,0.005722071026929137,39,5,18,Analyzer (routing)
openai/gpt-5-nano,project_size,huge,bj_no_plan,similarity,62,0.031840457255149945,-0.021267647181121667,0.08770003921684731,0.727777976865569,22,18,22,Planner+Reviewer
openai/gpt-5-nano,project_size,huge,bj_no_review,similarity,62,0.028055837696823998,-0.02667938876189507,0.08150978854672185,0.805193182622315,24,13,25,Reviewer
openai/gpt-5-nano,project_size,large,bj_no_summary,similarity,606,-0.011495228261476956,-0.021574065187565848,-7.627802589502749e-05,0.3214646671728456,217,169,220,Summarizer
openai/gpt-5-nano,project_size,large,bj_no_judge,similarity,606,0.019470863089142504,0.007769844395919249,0.031670995615380754,2.066871146114658e-05,330,56,220,Analyzer (routing)
openai/gpt-5-nano,project_size,large,bj_no_plan,similarity,606,-0.0020408719956755855,-0.012902410463337486,0.009061962261583557,0.14310672885308992,227,129,250,Planner+Reviewer
openai/gpt-5-nano,project_size,large,bj_no_review,similarity,606,-0.009544247980155079,-0.020621264882957794,0.00025361980938201715,0.023731536610183405,222,111,273,Reviewer
openai/gpt-5-nano,project_size,medium,bj_no_summary,similarity,636,0.005310787598633257,-0.0048500453625490705,0.01635727528424182,0.052707702955945804,220,144,272,Summarizer
openai/gpt-5-nano,project_size,medium,bj_no_judge,similarity,636,0.016289019177805848,0.004718077486225325,0.028122998195796695,2.9135221618106223e-05,340,59,237,Analyzer (routing)
openai/gpt-5-nano,project_size,medium,bj_no_plan,similarity,636,0.0036702367349146295,-0.005544392052659228,0.013175060568000026,0.031013804129063353,223,137,276,Planner+Reviewer
openai/gpt-5-nano,project_size,medium,bj_no_review,similarity,636,4.107797781226699e-06,-0.012426803834338222,0.012612898690035684,0.03833377600988772,224,138,274,Reviewer
openai/gpt-5-nano,project_size,small,bj_no_summary,similarity,52,-0.05278223165899702,-0.10813823693906313,-0.0027744745726955688,0.005460468938550227,12,13,27,Summarizer
openai/gpt-5-nano,project_size,small,bj_no_judge,similarity,52,-0.002817844599313399,-0.05180217447121789,0.05318973514076129,0.7292145726538012,22,4,26,Analyzer (routing)
openai/gpt-5-nano,project_size,small,bj_no_plan,similarity,52,-0.04693054540949571,-0.0971424352557836,0.003664538075946898,0.013386704345698558,14,10,28,Planner+Reviewer
openai/gpt-5-nano,project_size,small,bj_no_review,similarity,52,-0.04818868970941765,-0.08603276032847099,-0.009043349223747785,0.003548758356263878,11,12,29,Reviewer
openai/gpt-5-nano,conflict_size,1-50,bj_no_summary,similarity,715,-0.023488255517705746,-0.033988114546305875,-0.014354577887487794,1.7416320098117636e-14,138,282,295,Summarizer
openai/gpt-5-nano,conflict_size,1-50,bj_no_judge,similarity,715,0.02394545178962941,0.01340310501327879,0.035310194006393895,1.0560599096413217e-07,405,64,246,Analyzer (routing)
openai/gpt-5-nano,conflict_size,1-50,bj_no_plan,similarity,715,0.004761884499012432,-0.00523383464130339,0.014160267443984425,0.1146874141635313,245,195,275,Planner+Reviewer
openai/gpt-5-nano,conflict_size,1-50,bj_no_review,similarity,715,-0.003788401468001733,-0.015167271196205671,0.006642873927061709,0.10391603784136308,248,189,278,Reviewer
openai/gpt-5-nano,conflict_size,1000+,bj_no_summary,similarity,1243,-0.006138270619913179,-0.014991500325337578,0.0025644189291149397,0.0054159106517136825,431,305,507,Summarizer
openai/gpt-5-nano,conflict_size,1000+,bj_no_judge,similarity,1243,0.020747644442187275,0.012099438998588449,0.030027588079640052,2.5267563905142346e-11,703,86,454,Analyzer (routing)
openai/gpt-5-nano,conflict_size,1000+,bj_no_plan,similarity,1243,0.000917033619111289,-0.006623594649729403,0.009220204364244656,0.01325196194586419,463,246,534,Planner+Reviewer
openai/gpt-5-nano,conflict_size,1000+,bj_no_review,similarity,1243,-0.005283603910581982,-0.014271047263808774,0.0024192255114111514,0.0019843442723327357,447,240,556,Reviewer
openai/gpt-5-nano,conflict_size,201-500,bj_no_summary,similarity,207,-0.0013202257032282694,-0.012300359081804478,0.012031619529701415,0.7716463848164907,61,85,61,Summarizer
openai/gpt-5-nano,conflict_size,201-500,bj_no_judge,similarity,207,0.0034886361845784543,-0.005943773953818929,0.01671101098447732,0.9557594031042778,80,52,75,Analyzer (routing)
openai/gpt-5-nano,conflict_size,201-500,bj_no_plan,similarity,207,-0.0021473973070367356,-0.008610246982321035,0.006330739122517208,0.07491408438035538,50,85,72,Planner+Reviewer
openai/gpt-5-nano,conflict_size,201-500,bj_no_review,similarity,207,0.0002726247935679536,-0.013895829888488326,0.01662063467174819,0.8314154144519532,73,67,67,Reviewer
openai/gpt-5-nano,conflict_size,501-1000,bj_no_summary,similarity,392,0.0022064280824105843,-0.008455082131614335,0.0133875706684705,0.326104252392288,146,120,126,Summarizer
openai/gpt-5-nano,conflict_size,501-1000,bj_no_judge,similarity,392,0.0005080535090472871,-0.010030236300573533,0.009442982395053243,0.04339575958603823,192,58,142,Analyzer (routing)
openai/gpt-5-nano,conflict_size,501-1000,bj_no_plan,similarity,392,-0.003979863476730188,-0.012790779010351165,0.0038490950461659455,0.21222165973463392,130,111,151,Planner+Reviewer
openai/gpt-5-nano,conflict_size,501-1000,bj_no_review,similarity,392,-6.286133119705414e-05,-0.011729598651990475,0.01121064771098688,0.700836586379666,143,105,144,Reviewer
openai/gpt-5-nano,conflict_size,51-200,bj_no_summary,similarity,34,-0.0006634398130452563,-0.006812971334228492,0.005200369459335841,0.9093453131509106,11,12,11,Summarizer
openai/gpt-5-nano,conflict_size,51-200,bj_no_judge,similarity,34,0.012152451929093418,-0.00893849646115954,0.0459513142971708,0.3858817586602541,10,10,14,Analyzer (routing)
openai/gpt-5-nano,conflict_size,51-200,bj_no_plan,similarity,34,-0.0010498036162877474,-0.007941832182598255,0.004991884876146269,0.9367568177350606,10,13,11,Planner+Reviewer
openai/gpt-5-nano,conflict_size,51-200,bj_no_review,similarity,34,-0.023986068501219975,-0.08231566551263961,-0.0019578937970986974,0.1993705759538672,11,10,13,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_summary,similarity,847,0.016851834460688914,0.0067483113464277805,0.02756672972106424,6.812043742020618e-08,221,503,123,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_judge,similarity,847,0.06977542231769071,0.05551489440670755,0.08277565096552361,4.197978106676085e-55,637,43,167,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_plan,similarity,847,-0.0031156135687852265,-0.0063213638170139305,-0.00040058718414069146,0.143186830340086,19,799,29,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,easy,bj_no_review,similarity,847,-0.002040269498609743,-0.006024333211905388,0.0013271302112327315,0.2279063275442177,23,792,32,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_summary,similarity,1654,0.001377845699599902,-0.0070398664149886065,0.008723005512250219,0.18263409175509282,314,1059,281,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_judge,similarity,1654,0.053091924213368634,0.044064461280759464,0.06276846778327673,4.0474946885891997e-63,1007,286,361,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_plan,similarity,1654,-0.0008110970939050005,-0.005418434631710596,0.003539416747550794,0.06020176434961383,118,1446,90,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,difficulty,hard,bj_no_review,similarity,1654,-0.001981523496875083,-0.007329998230782593,0.002414165563683337,0.5260601076622614,82,1482,90,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_summary,similarity,113,0.0074270737812452406,-0.010531447494924582,0.02647817023489837,0.9614692470854281,20,72,21,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_judge,similarity,113,0.08038610972272998,0.04744043562898926,0.11119379171391201,6.97915654892231e-09,80,11,22,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_plan,similarity,113,0.006677249257926141,-0.019866648938792628,0.03280070928304877,0.17008697875151413,12,95,6,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,huge,bj_no_review,similarity,113,-0.007754870852022286,-0.028808634798440532,0.005640056352759896,0.96999425559955,7,99,7,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_summary,similarity,804,-0.0005326611700405002,-0.010486869112789446,0.009002229280309413,0.1529813514459395,164,501,139,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_judge,similarity,804,0.06538481326555715,0.052207929906143244,0.07766359231631469,3.252863428428005e-48,563,97,144,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_plan,similarity,804,0.0015023155127795913,-0.004383036961553044,0.00651379050766199,0.02749755984114972,65,697,42,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,large,bj_no_review,similarity,804,0.0008890822814797594,-0.005481771926526629,0.0066935826431404576,0.9955967687957504,36,732,36,Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_summary,similarity,1442,0.011410836024749594,0.002671366134423303,0.02170559908286211,5.183346737426045e-06,328,893,221,Summarizer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_judge,similarity,1442,0.05639553412964657,0.04663294205445364,0.06673547880044431,7.782301276770546e-61,913,208,321,Analyzer (routing)
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_plan,similarity,1442,-0.0030320273565941263,-0.00779868547602741,0.0015771351003673216,0.4462078652868735,56,1322,64,Planner+Reviewer
openrouter/meta-llama/llama-3.1-8b-instruct,project_size,medium,bj_no_review,similarity,1442,-0.0013089098103132436,-0.0059817639842767115,0.003299167135248328,0.46426020347287833,56,1322,64,Reviewer
